priority,severity,category,title,explanation,evidence
blocking,FAIL,Evidence coverage,Missing evidence: Final release package,"No sufficiently credible exact, alias, or semantic evidence match was found.",
blocking,FAIL,Evidence coverage,Missing evidence: Final release notes,"No sufficiently credible exact, alias, or semantic evidence match was found.",
blocking,FAIL,Evidence authenticity,Untouched starter evidence: Operational runbook,The resolved artifact is identical to the seeded starter material.,docs/operations/runbook.md
blocking,FAIL,Evidence authenticity,Untouched starter evidence: Observability plan,The resolved artifact is identical to the seeded starter material.,docs/observability/observability-plan.md
blocking,FAIL,Evidence authenticity,Untouched starter evidence: Security governance,The resolved artifact is identical to the seeded starter material.,docs/security/security-governance-checklist.md
blocking,FAIL,Evidence authenticity,Untouched starter evidence: Postmortem and cycle learning,The resolved artifact is identical to the seeded starter material.,docs/operations/postmortem-template.md
blocking,FAIL,Evidence authenticity,Untouched starter evidence: Final test evidence,The resolved artifact is identical to the seeded starter material.,test-evidence/README.md
informational,INFO,Evidence resolution,Extrapolated evidence mapping: Final test evidence,Matched an accepted alternative location.,test-evidence/README.md
significant,WARN,Team ownership,Team role ownership is unresolved,"No primary owner was resolved for: Team Lead, Planning & Process Lead, Architecture & Development Lead, Quality & Review Lead, Operations & Evidence Lead",docs/team/role-matrix.md | docs/team/roles.md
informational,INFO,Review context,Filesystem-only review,"Git history, assignment tags, authorship, and GitHub workflow evidence were unavailable. File-based analysis continued.",/Users/williamoconnell/Desktop/COMP330 Book/Engineering_Trustworthy_Intelligent_Systems/comp330-f26-starter-kit
informational,INFO,Review context,GitHub workflow analysis unavailable,"Pull requests, reviews, issues, CI runs, and releases require a GitHub source.",
